980190963,Changamwe,980190963
980190964,Kilifi South,980190963
980190965,Jomvu,980190963
980190966,Kisauni,980190963
980190967,Nyali,980190963
980190968,Likoni,980190963
980190969,Mvita,980190963
980190970,Kilifi North,980190964
980190971,Kilifi South,980190964
980190972,Kaloleni,980190964
980190973,Rabai,980190964
980190974,Ganze,980190964
980190975,Malindi,980190964
980190976,Magarini,980190964
980190977,Msambweni,980190965
980190978,Lunga Lunga,980190965
980190979,Matuga,980190965
980190980,Kinango,980190965
980190981,Garsen,980190966
980190982,Galole,980190966
980190983,Bura,980190966
980190984,Lamu East,980190967
980190985,Lamu West,980190967
980190986,Taveta,980190968
980190987,Wundanyi,980190968
980190988,Mwatate,980190968
980190989,Voi,980190968
980190990,Wajir North,980190969
980190991,wajir East,980190969
980190992,Tarbai,980190969
980190993,Wajir West,980190969
980190994,Eldas,980190969
980190995,Wajir South,980190969
980190996,Mandera West,980190970
980190997,Banisa,980190970
980190998,Mandera North,980190970
980190999,Mandera South,980190970
980191000,Mandera East,980190970
980191001,Lafey,980190970
980191002,Moyale,980190971
980191003,North Horr,980190971
980191004,Saku,980190971
980191005,Laisamis,980190971
980191006,Isiolo North,980190972
980191007,Isiolo South,980190972
980191008,Igembe South,980190973
980191009,Igembe Central,980190973
980191010,Igembe North,980190973
980191011,Tigania West,980190973
980191012,Tigania East,980190973
980191013,North Imenti,980190973
980191014,Mbuuri,980190973
980191015,Central Imenti,980190973
980191016,South Imenti,980190973
980191017,Nithi,980190974
980191018,Maara,980190974
980191019,Tharaka,980190974
980191020,Manyatta,980190975
980191021,Runyenjes,980190975
980191022,Gachoka,980190975
980191023,Siakago,980190975
980191024,Mwingi North,980190976
980191025,Mwingi Central,980190976
980191026,Mwingi South,980190976
980191027,Kitui West,980190976
980191028,Kitui Rural,980190976
980191029,Kitui Toen,980190976
980191030,Mutito,980190976
980191031,Kitui South,980190976
980191032,Masinga,980190977
980191033,Yatta,980190977
980191034,Kangundo,980190977
980191035,Matungulu,980190977
980191036,Kathiani,980190977
980191037,Mavoko,980190977
980191038,Machakos Town,980190977
980191039,Mwala,980190977
980191040,Mbooni,980190978
980191041,Kilome,980190978
980191042,Kaiti,980190978
980191043,Makueni,980190978
980191044,Kibwezi West,980190978
980191045,Kibwezi East,980190978
980191046,Kipipiri,980190979
